t,mass_model,E_model,mass_maxwell,E_maxwell
0,0,0,0,0
2.70710629606392e-05,0,4.44089209850063e-16,0,0
5.41421259212785e-05,0,4.44089209850063e-16,0,4.44089209850063e-16
8.12131888819177e-05,0,4.44089209850063e-16,0,0
0.000108284251842557,0,0,0,0
0.000135355314803196,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000162426377763835,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000189497440724475,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000216568503685114,0,4.44089209850063e-16,0,0
0.000243639566645753,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000270710629606392,0,4.44089209850063e-16,0,0
0.000297781692567032,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000324852755527671,0,4.44089209850063e-16,0,0
0.00035192381848831,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000378994881448949,0,0,0,4.44089209850063e-16
0.000406065944409589,0,0,0,0
0.000433137007370228,0,4.44089209850063e-16,0,0
0.000460208070330867,0,0,0,4.44089209850063e-16
0.000487279133291506,0,0,0,0
0.000514350196252146,0,0,0,4.44089209850063e-16
0.000541421259212785,0,0,0,0
0.000568492322173424,0,0,0,0
0.000595563385134063,0,0,0,0
0.000622634448094703,0,0,0,0
0.000649705511055342,0,0,0,0
0.000676776574015981,0,0,0,0
0.00070384763697662,0,0,0,0
0.00073091869993726,0,0,0,0
0.000757989762897899,0,0,0,0
0.000785060825858538,0,0,0,0
0.000812131888819177,0,0,0,0
0.000839202951779817,0,0,0,4.44089209850063e-16
0.000866274014740456,0,0,0,0
0.000893345077701095,0,4.44089209850063e-16,0,0
0.000920416140661734,0,4.44089209850063e-16,0,4.44089209850063e-16
0.000947487203622374,0,0,0,4.44089209850063e-16
0.000974558266583013,0,0,0,4.44089209850063e-16
0.00100162932954365,0,0,0,0
0.00102870039250429,0,4.44089209850063e-16,0,0
0.00105577145546493,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00108284251842557,0,4.44089209850063e-16,0,0
0.00110991358138621,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00113698464434685,0,0,0,0
0.00116405570730749,0,0,0,4.44089209850063e-16
0.00119112677026813,0,0,0,0
0.00121819783322877,0,0,0,0
0.00124526889618941,0,0,0,4.44089209850063e-16
0.00127233995915004,0,0,0,0
0.00129941102211068,0,0,0,4.44089209850063e-16
0.00132648208507132,0,4.44089209850063e-16,0,0
0.00135355314803196,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0013806242109926,0,0,0,4.44089209850063e-16
0.00140769527395324,0,0,0,4.44089209850063e-16
0.00143476633691388,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00146183739987452,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00148890846283516,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0015159795257958,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00154305058875644,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00157012165171708,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00159719271467772,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00162426377763835,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00165133484059899,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00167840590355963,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00170547696652027,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00173254802948091,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00175961909244155,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00178669015540219,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00181376121836283,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00184083228132347,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00186790334428411,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00189497440724475,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00192204547020539,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00194911653316603,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00197618759612666,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0020032586590873,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00203032972204794,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00205740078500858,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00208447184796922,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00211154291092986,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0021386139738905,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00216568503685114,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00219275609981178,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00221982716277242,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00224689822573306,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0022739692886937,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00230104035165434,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00232811141461498,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00235518247757561,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00238225354053625,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00240932460349689,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00243639566645753,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00246346672941817,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00249053779237881,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00251760885533945,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00254467991830009,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00257175098126073,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00259882204422137,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00262589310718201,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00265296417014265,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00268003523310329,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00270710629606392,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00273417735902456,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0027612484219852,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00278831948494584,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00281539054790648,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00284246161086712,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00286953267382776,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0028966037367884,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00292367479974904,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00295074586270968,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00297781692567032,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00300488798863096,0,4.44089209850063e-16,0,4.44089209850063e-16
0.0030319590515916,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00305903011455223,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00308610117751287,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00311317224047351,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00314024330343415,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00316731436639479,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00319438542935543,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00322145649231607,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00324852755527671,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00327559861823735,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00330266968119799,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00332974074415863,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00335681180711927,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00338388287007991,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00341095393304054,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00343802499600118,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00346509605896182,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00349216712192246,0,8.88178419700125e-16,0,4.44089209850063e-16
0.0035192381848831,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00354630924784374,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00357338031080438,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00360045137376502,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00362752243672566,0,8.88178419700125e-16,0,4.44089209850063e-16
0.0036545934996863,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00368166456264694,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00370873562560758,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00373580668856822,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00376287775152886,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00378994881448949,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00381701987745013,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00384409094041077,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00387116200337141,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00389823306633205,0,4.44089209850063e-16,0,4.44089209850063e-16
0.00392530412929269,0,8.88178419700125e-16,0,4.44089209850063e-16
0.00395237519225333,0,8.88178419700125e-16,0,4.44089209850063e-16
