t,Tv_w0p25,Ti_w0p25,absdT_w0p25,Tv_w0p50,Ti_w0p50,absdT_w0p50,Tv_w0p75,Ti_w0p75,absdT_w0p75,Tv_w1p00,Ti_w1p00,absdT_w1p00
0,1.4,0.999999999999995,0.400000000000007,1.4,0.999999999999995,0.400000000000007,1.4,0.999999999999995,0.400000000000007,1.4,0.999999999999995,0.400000000000007
2.70710629606396e-05,1.39989538903917,1.00015691644125,0.399738472597917,1.39979084850236,1.00031372724646,0.399477121255901,1.39968637838781,1.00047043241828,0.399215945969532,1.39958197869375,1.00062703195937,0.398954946734381
5.41421259212791e-05,1.39979084810891,1.00031372783664,0.399477120272266,1.39958197762216,1.00062703356675,0.398954944055414,1.39937338824018,1.00093991763973,0.398433470600444,1.39916507966359,1.00125238050461,0.397912699158973
8.12131888819187e-05,1.39968637716096,1.00047043425856,0.399215942902405,1.39937338696817,1.00093991954774,0.398433467420424,1.39906102823368,1.00140845764947,0.397652570584212,1.39874929977164,1.00187605034253,0.396873249429112
0.000108284251842558,1.39958197614711,1.00062703577934,0.398954940367767,1.39916507614969,1.00125238577546,0.397912690374236,1.39874929704785,1.00187605442823,0.396873242619621,1.39833463588934,1.00249804616599,0.395836589723353
0.000135355314803198,1.39947764501915,1.00078353247128,0.398694112547871,1.39895704477663,1.00156443283505,0.397392611941578,1.3984381933651,1.00234270995235,0.396095483412754,1.39792108489736,1.00311837265395,0.39480271224341
0.000162426377763837,1.39937338372892,1.00093992440661,0.398433459322312,1.39874929245944,1.00187606131084,0.396873231148597,1.39812771587079,1.00280842619381,0.395319289676975,1.39750864368563,1.00373703447155,0.393771609214077
0.000189497440724477,1.39926919222831,1.00109621165753,0.398172980570773,1.39854181880914,1.00218727178628,0.396354547022862,1.39781786325316,1.00327320512025,0.394544658132914,1.39709730915326,1.00435403627011,0.392743272883153
0.000216568503685116,1.3991650704692,1.00125239429619,0.397912676173016,1.39833462343734,1.00249806484398,0.395836558593358,1.39750863420338,1.00373704869493,0.393771585508445,1.39668707820855,1.00496938268717,0.391717695521373
0.000243639566645756,1.39906101840355,1.00140847239467,0.397652546008887,1.39812770595619,1.00280844106571,0.395319264890482,1.39720002741547,1.00419995887679,0.393000068538675,1.39627794776893,1.0055830783466,0.390694869422332
