t,Tv,Ti,absdT
0,1.4,0.999999999999995,0.400000000000007
2.70710629606392e-05,1.39958197869375,1.00062703195937,0.398954946734381
5.41421259212785e-05,1.39916507966359,1.00125238050461,0.397912699158973
8.12131888819177e-05,1.39874929977164,1.00187605034253,0.396873249429112
0.000108284251842557,1.39833463588934,1.00249804616599,0.395836589723354
0.000135355314803196,1.39792108489736,1.00311837265395,0.394802712243411
0.000162426377763835,1.39750864368563,1.00373703447155,0.393771609214077
0.000189497440724475,1.39709730915326,1.00435403627011,0.392743272883153
0.000216568503685114,1.39668707820855,1.00496938268717,0.391717695521373
0.000243639566645753,1.39627794776893,1.0055830783466,0.390694869422332
0.000270710629606392,1.39586991476096,1.00619512785855,0.389674786902412
0.000297781692567032,1.39546297612028,1.00680553581957,0.388657440300707
0.000324852755527671,1.39505712879158,1.00741430681262,0.387642821978958
0.00035192381848831,1.39465236972858,1.00802144540711,0.38663092432147
0.000378994881448949,1.39424869589401,1.00862695615897,0.385621739735049
0.000406065944409589,1.39384610425957,1.00923084361064,0.384615260648925
0.000433137007370228,1.39344459180587,1.00983311229118,0.383611479514684
0.000460208070330867,1.39304415552247,1.01043376671628,0.382610388806193
0.000487279133291506,1.39264479240781,1.01103281138828,0.381611981019531
0.000514350196252146,1.39224649946916,1.01163025079624,0.380616248672919
0.000541421259212785,1.39184927372265,1.012226089416,0.379623184306648
0.000568492322173424,1.3914531121932,1.01282033171019,0.37863278048301
0.000595563385134063,1.39105801191448,1.01341298212826,0.377645029786225
0.000622634448094703,1.39066396992894,1.01400404510657,0.376659924822376
0.000649705511055342,1.39027098328773,1.01459352506839,0.375677458219336
0.000676776574015981,1.38987904905067,1.01518142642397,0.374697622626698
0.00070384763697662,1.38948816428628,1.01576775357057,0.373720410715709
0.00073091869993726,1.38909832607167,1.01635251089247,0.3727458151792
0.000757989762897899,1.3887095314926,1.01693570276108,0.371773828731516
0.000785060825858538,1.38832177764337,1.01751733353492,0.370804444108449
0.000812131888819177,1.38793506162686,1.01809740755969,0.369837654067171
0.000839202951779817,1.38754938055446,1.01867592916829,0.368873451386161
0.000866274014740456,1.38716473154605,1.0192529026809,0.367911828865146
0.000893345077701095,1.38678111173,1.01982833240498,0.366952779325026
0.000920416140661734,1.38639851824311,1.0204022226353,0.365996295607809
0.000947487203622374,1.38601694823061,1.02097457765406,0.365042370576546
0.000974558266583013,1.3856363988461,1.02154540173083,0.364090997115264
0.00100162932954365,1.38525686725155,1.02211469912265,0.363142168128897
0.00102870039250429,1.38487835061728,1.02268247407406,0.36219587654322
0.00105577145546493,1.3845008461219,1.02324873081712,0.361252115304787
0.00108284251842557,1.38412435095233,1.02381347357147,0.360310877380862
0.00110991358138621,1.38374886230373,1.02437670654438,0.359372155759354
0.00113698464434685,1.38337437737949,1.02493843393074,0.358435943448749
0.00116405570730749,1.38300089339121,1.02549865991316,0.357502233478053
0.00119112677026813,1.38262840755867,1.02605738866196,0.356571018896717
0.00121819783322877,1.38225691710982,1.02661462433524,0.355642292774579
0.00124526889618941,1.38188641928071,1.02717037107891,0.3547160482018
0.00127233995915004,1.3815169113155,1.02772463302671,0.353792278288793
0.00129941102211068,1.38114839046645,1.02827741430029,0.352870976166167
0.00132648208507132,1.38078085399385,1.02882871900919,0.351952134984661
0.00135355314803196,1.38041429916602,1.02937855125094,0.351035747915075
0.0013806242109926,1.38004872325927,1.02992691511106,0.350121808148216
0.00140769527395324,1.37968412355792,1.03047381466309,0.349210308894827
0.00143476633691388,1.3793204973542,1.03101925396867,0.348301243385528
0.00146183739987452,1.37895784194829,1.03156323707753,0.347394604870754
0.00148890846283516,1.37859615464826,1.03210576802757,0.346490386620689
0.0015159795257958,1.37823543277007,1.03264685084486,0.345588581925208
0.00154305058875644,1.37787567363751,1.0331864895437,0.344689184093812
0.00157012165171708,1.37751687458221,1.03372468812664,0.343792186455568
0.00159719271467772,1.3771590329436,1.03426145058456,0.342897582359043
0.00162426377763835,1.37680214606889,1.03479678089663,0.342005365172254
0.00165133484059899,1.37644621131302,1.03533068303043,0.341115528282593
0.00167840590355963,1.37609122603869,1.03586316094192,0.340228065096773
0.00170547696652027,1.37573718761629,1.03639421857552,0.33934296904077
